id,name,name_kana,name_en,summary,station,prefecture,address,building,hp,facebook,twitter,instagram,tiktok,youtube,condition,anual_fee,have_dormitory,dormitory_fee,is_open,capacity
1,旭川福祉専門学校,あさひかわふくしせんもんがっこう,Asahikawa Welfare College,,千代ヶ丘駅,Hokkaido,上川郡東川町進化台,,https://www.hokko.ac.jp/kyokufuku/,,https://twitter.com/fukusen_renger,https://www.instagram.com/fukusenkoho/,,,,600000,FALSE,,TRUE,
2,あおもり日本語学園,あおもりにほんごがくえん,Aomori Japanese School,,青森駅,Aomori,青森市栄町1-4-8,,https://nihongo.aomori.jp/,,https://twitter.com/Aomori_Nihongo,,,https://www.youtube.com/channel/UCwC9WO7_uAncSX0hTevCBQA,,600000,TRUE,15000,TRUE,40
3,上野法律ビジネス専門学校,うえのほうりつビジネスせんもんがっこう,Ueno Law and Business College,,盛岡駅,Iwate,盛岡市盛岡駅前北通6-30,,https://www.ueno.ac.jp/japanese/,,https://twitter.com/ueno_morioka,https://www.instagram.com/ueno.morioka/,https://www.tiktok.com/@ueno1730,https://www.youtube.com/user/uenoschool,,,TRUE,15000,TRUE,150
4,青葉外国語学院,あおばがいこくごがくいん,Aoba Foreign Language School,,北山駅,Miyagi,仙台市青葉区八幡2-16-25,,https://aobagaigo.org/,https://www.facebook.com/profile.php?id=931263550221901&paipv=0&eav=AfbK62Hyj7RNnB6PLohFJpgtKcpoB8RDM6fpw8ycstwNCXiSJ55K7mWdKQR76TeIDOA&_rdr,,,,,,530000,TRUE,15000,TRUE,
5,秋田日本語学院,あきたにほんごがくいん,Akita Japanese Language Institute,秋田県で唯一の日本語学校です。,秋田駅,Akita,秋田市中通四丁目3-11,,https://www.ito-gakuen.ac.jp/japanese/,https://www.facebook.com/AkitaNihongo/,,https://www.instagram.com/akita_nihongo/,,,,550000,TRUE,20000,TRUE,
6,郡山健康科学専門学校,こおりやまけんこうかがくせんもんがっこう,Koriyama Institute Health and Science,,郡山駅,Fukushima,郡山市図景2-9-3,,https://www.k-tohto.ac.jp/,,https://twitter.com/koriyama_tohto1,,,https://www.youtube.com/channel/UCzh6LWMzukNUJqpni9H3xNw,,,FALSE,,TRUE,40
7,アール医療福祉専門学校日本語学科,アールいりょうふくしせんもんがっこうにほんごがっか,R Medical and Welfare College Japanese Language Department,,土浦駅,Ibaraki,土浦市湖北2-10-35,,https://a-ru.ac.jp/college/department/japanese/index.html,https://www.facebook.com/profile.php?id=100030964552113&locale=es_LA&paipv=0&eav=AfY7CQvR_0TZXe6RIKd_oZDkHVyyiq-yQTshxe-i0ZEfkI0-5Er30qNJLAr7IX0yk-g,,,,,,750000,TRUE,25000,TRUE,40
8,アティスインターナショナルアカデミー,アティスインターナショナルアカデミー,Atys International Academy,,宇都宮駅,Tochigi,宇都宮市東宿郷1-4-7,,https://www.atys-academy.org/,https://www.facebook.com/atys.academy/?locale=ja_JP,https://twitter.com/AcademyAtys,https://www.instagram.com/atys_international_academy/,https://www.tiktok.com/@atys.utsunomiya?lang=ja-JP,,,600000,TRUE,22000,TRUE,
9,青山日本語学院,あおやまにほんごがくいん,Aoyama Nippongo Gakuin,,前橋駅,Gunma,前橋市南町3-24-1,,https://www.aoyama-jls.com/,https://www.facebook.com/nippongogakuinn.aoyama.7,,https://www.instagram.com/aoyamanippongogakuinn/,,,,594000,TRUE,,TRUE,
10,アイザック東京国際アカデミー,アイザックとうきょうこくさいアカデミー,Isaac Language Institute,,南越谷駅,Saitama,越谷市南越谷2-4-6,アイザックビル,https://isaac-tia.jp/,https://www.facebook.com/saitamajapaneselanguageschool/?locale=ja_JP,,,,https://www.youtube.com/@user-xx4vf3ox7p,,600000,TRUE,20000,TRUE,
11,アクティブ日本語学院,アクティブにほんごがくいん,Active Japanese Language School,,稲毛海岸駅,Chiba,千葉市美浜区幸町2-19-35,,http://active-jls.jp/school/,https://www.facebook.com/active.jls/?locale=ja_JP,,,,,,600000,TRUE,30000,TRUE,
12,アークアカデミー新宿校,アークアカデミーしんじゅくこう,ARC Academy Shinjuku,,新宿駅,Tokyo,新宿区西新宿7-18-16,東信西新宿ビル3F,https://japanese.arc-academy.net/,https://www.facebook.com/arcacademy.japan/,,https://www.instagram.com/arcacademy_shinjuku/?hl=ja,,,,768000,FALSE,,TRUE,240
13,アーツカレッジヨコハマ,アーツカレッジヨコハマ,Arts College Yokohama for International Students,,横浜駅,Kanagawa,横浜市西区浅間町2-105-8,,https://www.arts-college.yokohama/nihongo/,https://www.facebook.com/acykokusaijyoho/,,https://www.instagram.com/artscollegeyokohama/,,https://www.youtube.com/channel/UC00rn3IqxbMqT5oOg8Lp3UA,,53000,TRUE,35000,TRUE,40
14,エイシン長岡日本語学校,エイシンながおかにほんごがっこう,EISHIN Nagaoka Japanese Language School,グループ内に大学予備校、専門学校、介護施設があります。そのため、日本語学習から進学・就職まで一貫した教育が受けられます。,長岡駅,Nigata,長岡市今朝白1-10-5,,https://eishin-js.com/,https://www.facebook.com/ejs.nagaoka/,,https://www.instagram.com/ejs.nagaoka/?hl=ja,,,,761000,TRUE,22000,TRUE,
15,富山国際学院,とやまこくさいがくいん,Toyama International Academy,,富山駅,Toyama,富山市芝園町2-5-13,,https://www.toyamaia.com/,https://www.facebook.com/profile.php?id=100057491590041&locale=ja_JP,,,,,,594000,TRUE,,TRUE,
16,大原簿記法律観光専門学校金沢校,おおはらぼきほうりつかんこうせんもんがっこうかなざわこう,OHARA Japanese Language School,,金沢駅,Ishikawa,石川県金沢市広岡1-1-15,,https://www.o-hara.ac.jp/japanese/jp/kanazawa/,,,,,,,,TRUE,12800,TRUE,
17,青池調理師専門学校日本語科,あおいけちょうりしせんもんがっこうにほんごがっか,AOIKE CULINARY SCHOOL,,小浜駅,Fukui,小浜市小浜広峰108,,https://www.aoike-chori.com/course/nihongo/,https://www.facebook.com/p/AOIKE-Japanese-Language-School-100057581134010/,,,,,,660000,TRUE,,TRUE,
18,ふじやま国際学院,ふじやまこくさいがくいん,Fujiyama Japanese Language School,,富士山駅,Yamanashi,富士河口湖町船津1791-5,,https://fujiyamajls.com/fujiyamablog/1178/,https://www.facebook.com/FujiyamaJapaneseLanguageSchool/,,https://www.instagram.com/fujiyamajls/,,https://www.youtube.com/channel/UCllOlaXfbtMp0fOIJ5qkhCA,,775500,TRUE,28000,TRUE,
19,長野国際文化学院,ながのこくさいぶんかがくいん,Nagano International Culture Collage,,上諏訪駅,Nagano,諏訪市豊田445-2,,http://www.nicc-nagano.jp/,https://www.facebook.com/NaganoInternationalCultureCollege/,,,,,,,FALSE,,TRUE,
20,ホツマインターナショナルスクール,ホツマインターナショナルスクール,HOTSUMA INTERNATIONAL SCHOOL,,西岐阜駅,Gifu,岐阜市宇佐南4丁目20-12,,https://hotsuma-group.com/,https://www.facebook.com/hotsuma.international.school/?ref=embed_page,,,,,,660000,FALSE,,TRUE,
21,ＡＮＳ日本語学院,エーエヌエスにほんごがくいん,ANS Japanese Language Academy,,代官町駅,Shizuoka,静岡県島田市金谷栄町,,https://ans-ja.com/,,,https://www.instagram.com/nihongo_ans/,,,,700000,FALSE,,TRUE,
22,ＡＲＭＳ日本語学校,エーアールエムエスにほんごがっこう,ARMS Japanese Language School,,金山駅,Aichi,名古屋市中区伊勢山1-5-25,第1ビル,https://ah-jls.com/introduction/arms/,https://www.facebook.com/ah.jls7477/,,https://www.instagram.com/ah_jls/,,https://www.youtube.com/@arms18,,660000,TRUE,100000,TRUE,240
23,インターナショナル日本学校,インターナショナルにっぽんがっこう,International Nippon School,,近鉄四日市駅,Mie,四日市市西町5-12,ウエストレジデンス1階,http://www.nipponschool.jp/jp/,https://www.facebook.com/internationalnipponschool/?locale=ja_JP,,,,,,555000,TRUE,21000,TRUE,50
24,京進ランゲージアカデミーびわこ校,きょうしんランゲージアカデミーびわここう,Kyoshin Language Arakademy Biwako School,,瀬田駅,Shiga,大津市大将軍3-11-1,,https://www.kla.ac/jp/school/biwako/,https://www.facebook.com/kyoshin.language.academy.biwako/,,https://www.instagram.com/kla_biwako/?hl=ja,,,,,TRUE,25000,TRUE,
25,アジア国際日本語学校,アジアこくさいにほんごがっこう,Asian International Japanese Language School,,大山崎駅,Kyoto,八幡市八幡三反長24-8,IRCJビル4階,https://www.aijlschool.com/,https://www.facebook.com/aijls/,https://twitter.com/AIJLSchool,,,,,660000,TRUE,,TRUE,
