school_id,student_nationality_tag_id
4,1
4,2
4,3
7,2
7,3
7,4
8,1
8,2
8,3
8,5
8,6
8,7
8,8
11,2
11,5
11,9
14,2
14,8
17,2
17,10
19,1
19,2
19,6
19,7
19,10
19,11
19,12
19,13
21,1
21,2
21,10
22,1
22,2
22,3
22,4
22,5
22,7
22,10
22,14
25,1
25,2
25,3
25,9
25,10
25,11
25,15
25,16
25,17
25,18
25,19
25,20
28,2
28,3
28,11
28,21
32,1
32,2
32,3
32,5
32,7
32,8
32,10
32,11
32,12
32,14
32,19
33,2
33,7
33,8
33,11
33,22
43,1
43,2
43,3
43,11
43,12
45,2
45,3
